"district","candidate_placement","candidate_name","candidate_answer_status","candidate_url","party","done","candidate_photo_url"
"Norðaustur",2,"Kolbeinn Aðalsteinsson","cand ok","/kosningar2013/frambod/fulltrui/kolbeinn-adalsteinsson/","Hægri Grænir",1,"/media/althingi2013/frambjodendur/Kolbeinn_A%C3%B0alsteinsson_2NA_jpg_310x400_crop_upscale_q95.jpg"
"Norðaustur",3,"Oddur Andri Thomasson Ahrens","cand ok","/kosningar2013/frambod/fulltrui/oddur-andri-thomasson-ahrens/","Hægri Grænir",1,"/media/althingi2013/frambjodendur/Oddur_Andri_Thomasson_Ahrens_3NA_jpg_310x400_crop_upscale_q95.jpg"
"Norðaustur",4,"Sigurður Hrafn Sigurðsson","cand ok","/kosningar2013/frambod/fulltrui/sigurdur-hrafn-sigurdsson/","Hægri Grænir",1,"/media/althingi2013/nopic.jpg"
"Norðaustur",5,"Jóhann Grétar Krøyer Gizurarson","cand not","/kosningar2013/frambod/fulltrui/johann-gretar-kryer-gizurarson/","Hægri Grænir",0,"/media/althingi2013/nopic.jpg"
"Reykjavík suður",1,"Róbert Marshall","cand ok","/kosningar2013/frambod/fulltrui/Robert-Marshall/","Björt framtíð",1,"/media/althingi2013/frambjodendur/R%D0%B2bert_Marshall_jpg_310x400_crop_upscale_q95.jpg"
"Reykjavík suður",2,"Óttarr Proppé","cand ok","/kosningar2013/frambod/fulltrui/Ottarr-Proppe/","Björt framtíð",1,"/media/althingi2013/frambjodendur/%D1%80ttarr_Propp%D0%92_jpg_310x400_crop_upscale_q95.jpg"
"Reykjavík suður",3,"Brynhildur S. Björnsdóttir","cand ok","/kosningar2013/frambod/fulltrui/Brynhildur-S-Bjornsdottir/","Björt framtíð",1,"/media/althingi2013/frambjodendur/Brynhildur_S._Bj%D0%A4rnsd%D0%B2ttir_jpg_310x400_crop_upscale_q95.jpg"
"Reykjavík suður",4,"Sigrún Gunnarsdóttir","cand ok","/kosningar2013/frambod/fulltrui/Sigrun-Gunnarsdottir/","Björt framtíð",1,"/media/althingi2013/frambjodendur/Sigr%D0%B3n_Gunnarsd%D0%B2ttir_jpg_310x400_crop_upscale_q95.jpg"
"Reykjavík suður",5,"Tryggvi Haraldsson","cand ok","/kosningar2013/frambod/fulltrui/Tryggvi-Haraldsson/","Björt framtíð",1,"/media/althingi2013/frambjodendur/Tryggvi_Haraldsson_jpg_310x400_crop_upscale_q95.jpg"
"Reykjavík suður",1,"Hanna Birna Kristjánsdóttir","cand ok","/kosningar2013/frambod/fulltrui/Hanna-Birna-Kristjansdottir/","Sjálfstæðisflokkurinn",1,"/media/althingi2013/frambjodendur/DV121211913_07_jpg_310x400_crop_upscale_q95.jpg"
"Reykjavík suður",2,"Pétur H. Blöndal","cand ok","/kosningar2013/frambod/fulltrui/Petur-H-Blondal/","Sjálfstæðisflokkurinn",1,"/media/althingi2013/frambjodendur/DV1202167807_08_jpg_310x400_crop_upscale_q95.jpg"
"Reykjavík suður",3,"Guðlaugur Þór Þórðarson","cand not","/kosningar2013/frambod/fulltrui/Gudlaugur-THor-THordarson/","Sjálfstæðisflokkurinn",0,"/media/althingi2013/frambjodendur/DV1003181041_08_jpg_310x400_crop_upscale_q95.jpg"
"Reykjavík suður",4,"Sigríður Á. Andersen","cand ok","/kosningar2013/frambod/fulltrui/Sigridur-A-Andersen/","Sjálfstæðisflokkurinn",1,"/media/althingi2013/frambjodendur/Sigr%C3%AD%C3%B0ur_%C3%81._Andersen_JPG_310x400_crop_upscale_q95.jpg"
"Reykjavík suður",5,"Áslaug María Friðriksdóttir","cand not","/kosningar2013/frambod/fulltrui/Aslaug-Maria-Fridriksdottir/","Sjálfstæðisflokkurinn",0,"/media/althingi2013/frambjodendur/%C3%81slaug_Mar%C3%ADa_Fri%C3%B0riksd%C3%B3ttir_jpg_310x400_crop_upscale_q95.jpg"
"Reykjavík suður",1,"Sigríður Ingibjörg Ingadóttir","cand ok","/kosningar2013/frambod/fulltrui/Sigridur-Ingibjorg-Ingadottir/","Samfylkingin",1,"/media/althingi2013/frambjodendur/DV1207189514-008_jpg_310x400_crop_upscale_q95.jpg"
"Reykjavík suður",2,"Helgi Hjörvar","cand not","/kosningar2013/frambod/fulltrui/Helgi-Hjorvar/","Samfylkingin",0,"/media/althingi2013/frambjodendur/DV1210249866_02_jpg_310x400_crop_upscale_q95.jpg"
"Reykjavík suður",3,"Björk Vilhelmsdóttir","cand ok","/kosningar2013/frambod/fulltrui/Bjork-Vilhelmsdottir/","Samfylkingin",1,"/media/althingi2013/frambjodendur/DV1210099445_07_jpg_310x400_crop_upscale_q95.jpg"
"Reykjavík suður",4,"Mörður Árnason","cand ok","/kosningar2013/frambod/fulltrui/Mordur-Arnason/","Samfylkingin",1,"/media/althingi2013/frambjodendur/M%C3%B6r%C3%B0ur_%C3%81rnason_jpg_310x400_crop_upscale_q95.jpg"
"Reykjavík suður",5,"Ósk Vilhjálmsdóttir","cand ok","/kosningar2013/frambod/fulltrui/Osk-Vilhjalmsdottir/","Samfylkingin",1,"/media/althingi2013/frambjodendur/DV2691010407_%C3%8Db%C3%BAal%C3%BD%C3%B0r%C3%A6%C3%B0i_%C3%AD_Hafnarfir%C3%B0i_4_jpg_310x400_crop_upscale_q95.jpg"
"Reykjavík suður",1,"Vigdís Hauksdóttir","cand ok","/kosningar2013/frambod/fulltrui/Vigdis-Hauksdottir/","Framsóknarflokkurinn",1,"/media/althingi2013/frambjodendur/DV_vigdis_05_jpg_310x400_crop_upscale_q95.jpg"
"Reykjavík suður",2,"Karl Garðarsson","cand ok","/kosningar2013/frambod/fulltrui/Karl-Gardarsson/","Framsóknarflokkurinn",1,"/media/althingi2013/frambjodendur/Karl_Gar%C3%B0arsson_jpg_310x400_crop_upscale_q95.jpg"
"Reykjavík suður",3,"Sveinbjörg Birna Sveinbjörnsdóttir","cand not","/kosningar2013/frambod/fulltrui/Sveinbjorg-Birna-Sveinbjornsdottir/","Framsóknarflokkurinn",0,"/media/althingi2013/nopic.jpg"
"Reykjavík suður",4,"Jóhanna Kristín Björnsdóttir","cand not","/kosningar2013/frambod/fulltrui/Johanna-Kristin-Bjornsdottir/","Framsóknarflokkurinn",0,"/media/althingi2013/nopic.jpg"
"Reykjavík suður",5,"Hafsteinn Ágústsson","cand ok","/kosningar2013/frambod/fulltrui/Hafsteinn-Agustsson/","Framsóknarflokkurinn",1,"/media/althingi2013/nopic.jpg"
"Reykjavík suður",1,"Svandís Svavarsdóttir","cand ok","/kosningar2013/frambod/fulltrui/Svandis-Svavarsdottir/","Vinstri græn",1,"/media/althingi2013/frambjodendur/DV1102174753_08_jpg_310x400_crop_upscale_q95.jpg"
"Reykjavík suður",2,"Álfheiður Ingadóttir","cand ok","/kosningar2013/frambod/fulltrui/Alfheidur-Ingadottir/","Vinstri græn",1,"/media/althingi2013/frambjodendur/DV_vantraust_14_jpg_310x400_crop_upscale_q95.jpg"
"Reykjavík suður",3,"Ingimar Karl Helgason","cand ok","/kosningar2013/frambod/fulltrui/Ingimar-Karl-Helgason/","Vinstri græn",1,"/media/althingi2013/frambjodendur/VGrvkS3_IngimarKarlHelgasonkt1005744039_jpg_310x400_crop_upscale_q95.jpg"
"Reykjavík suður",4,"Kristinn Schram","cand ok","/kosningar2013/frambod/fulltrui/Kristinn-Schram/","Vinstri græn",1,"/media/althingi2013/frambjodendur/Kristinn_Schram_jpg_310x400_crop_upscale_q95.jpg"
"Reykjavík suður",5,"Grímur Atlason","cand ok","/kosningar2013/frambod/fulltrui/Grimur-Atlason/","Vinstri græn",1,"/media/althingi2013/frambjodendur/DV20895300408_madurdagsins_0_2_jpg_310x400_crop_upscale_q95.jpg"
"Reykjavík suður",1,"Þórður Björn Sigurðsson","cand ok","/kosningar2013/frambod/fulltrui/THordur-Bjorn-Sigurdsson/","Dögun",1,"/media/althingi2013/frambjodendur/DV1303264832_02_jpg_310x400_crop_upscale_q95.jpg"
"Reykjavík suður",2,"Jóhannes Björn Lúðvíksson","cand ok","/kosningar2013/frambod/fulltrui/Johannes-Bjorn-Ludviksson/","Dögun",1,"/media/althingi2013/frambjodendur/J%C3%B3hannes_Bj%C3%B6rn_L%C3%BA%C3%B0v%C3%ADksson_jpg_310x400_crop_upscale_q95.jpg"
"Reykjavík suður",3,"Helga Þórðardóttir","cand ok","/kosningar2013/frambod/fulltrui/Helga-THordardottir/","Dögun",1,"/media/althingi2013/frambjodendur/Helga_%C3%9E%C3%B3r%C3%B0ard%C3%B3ttir_jpg_310x400_crop_upscale_q95.jpg"
"Reykjavík suður",4,"Rannveig Óskarsdóttir","cand ok","/kosningar2013/frambod/fulltrui/Rannveig-Oskarsdottir/","Dögun",1,"/media/althingi2013/frambjodendur/Rannveig_%C3%93skarsd%C3%B3ttir_jpg_310x400_crop_upscale_q95.jpg"
"Reykjavík suður",5,"Sigurður Jónas Eggertsson","cand ok","/kosningar2013/frambod/fulltrui/Sigurdur-Jonas-Eggertsson/","Dögun",1,"/media/althingi2013/frambjodendur/Sigur%C3%B0ur_J%C3%B3nas_Eggertsson_jpg_310x400_crop_upscale_q95.jpg"
"Reykjavík suður",1,"Jón Þór Ólafsson","cand ok","/kosningar2013/frambod/fulltrui/Jon-THor-Olafsson/","Píratar",1,"/media/althingi2013/frambjodendur/jon_thor_fjolmidlar_lit_jpg_310x400_crop_upscale_q95.jpg"
"Reykjavík suður",2,"Ásta Helgadóttir","cand ok","/kosningar2013/frambod/fulltrui/Asta-Helgadottir/","Píratar",1,"/media/althingi2013/frambjodendur/Asta_Helgadottir_050290-2129_jpg_310x400_crop_upscale_q95.jpg"
"Reykjavík suður",3,"Sigurbjörg Erla Egilsdóttir","cand ok","/kosningar2013/frambod/fulltrui/Sigurbjorg-Erla-Egilsdottir/","Píratar",1,"/media/althingi2013/frambjodendur/Sigurbjorg_Erla_181186-2839_jpg_310x400_crop_upscale_q95.jpg"
"Reykjavík suður",4,"Sigríður Fossberg Thorlacius","cand ok","/kosningar2013/frambod/fulltrui/Sigridur-Fossberg-Thorlacius/","Píratar",1,"/media/althingi2013/frambjodendur/Sigridur_Thorlacius_231087-2659_jpg_310x400_crop_upscale_q95.jpg"
"Reykjavík suður",5,"Arnaldur Sigurðarson","cand ok","/kosningar2013/frambod/fulltrui/Arnaldur-Sigurdarson/","Píratar",1,"/media/althingi2013/frambjodendur/Arnaldur_Sig_141087-3479_jpg_310x400_crop_upscale_q95.jpg"
"Reykjavík suður",1,"Þórhildur Þorleifsdóttir","cand ok","/kosningar2013/frambod/fulltrui/THorhildur-THorleifsdottir/","Lýðræðisvaktin",1,"/media/althingi2013/frambjodendur/%D1%88%D0%B2rhildur_%D1%88orleifsd%D0%B2ttir_jpg_310x400_crop_upscale_q95.jpg"
"Reykjavík suður",2,"Örn Bárður Jónsson","cand ok","/kosningar2013/frambod/fulltrui/Orn-Bardur-Jonsson/","Lýðræðisvaktin",1,"/media/althingi2013/frambjodendur/%D0%A9rn_B%D0%B0rur_J%D0%B2nsson_jpg_310x400_crop_upscale_q95.jpg"
"Reykjavík suður",3,"Íris Erlingsdóttir","cand ok","/kosningar2013/frambod/fulltrui/Iris-Erlingsdottir/","Lýðræðisvaktin",1,"/media/althingi2013/frambjodendur/ris_Erlingsd%D0%B2ttir_JPG_310x400_crop_upscale_q95.jpg"
"Reykjavík suður",4,"Guðbjörn Guðbjörnsson","cand ok","/kosningar2013/frambod/fulltrui/Gudbjorn-Gudbjornsson/","Lýðræðisvaktin",1,"/media/althingi2013/frambjodendur/Gubj%D0%A4rn_Gubj%D0%A4rnsson_jpg_310x400_crop_upscale_q95.jpg"
"Reykjavík suður",5,"Jónas Guðmundsson","cand ok","/kosningar2013/frambod/fulltrui/Jonas-Gudmundsson/","Lýðræðisvaktin",1,"/media/althingi2013/frambjodendur/J%D0%B2nas_Gumundsson_jpg_310x400_crop_upscale_q95.jpg"
"Reykjavík suður",1,"Jón E Árnason","cand ok","/kosningar2013/frambod/fulltrui/jon-e-arnason/","Hægri Grænir",1,"/media/althingi2013/frambjodendur/J%C3%B3n_E_%C3%81rnason_1RVKS_JPG_310x400_crop_upscale_q95.jpg"
